Date,Description,Amount,Currency,Type,Source,VAT,Base,Week,Month,Year
2024-05-09,TRF. JO√O PEDRO JESUS COSTA SA,5000.0,EUR,BANK_TRANSFER,Montepio,,,19,5,2024
2024-05-11,Jose Eduardo Higino,-38.25,EUR,"Alojamento, restauração e similares",E-fatura,4.71,33.54,19,5,2024
2024-05-14,Aiel,-110.7,EUR,Outros,E-fatura,20.7,90.0,20,5,2024
2024-05-14,Aiel,-110.7,EUR,Outros,E-fatura,20.7,90.0,20,5,2024
2024-05-15,Maximino Gonzalez e Cia Lda,-72.79,EUR,"Alojamento, restauração e similares",E-fatura,8.85,63.94,20,5,2024
2024-05-15,Aiel,-307.5,EUR,Outros,E-fatura,57.5,250.0,20,5,2024
2024-05-16,Pontipercepção,-60.0,EUR,Ginásios,E-fatura,3.4,56.6,20,5,2024
2024-05-20,Flui,-60.5,EUR,Other,E-fatura,6.96,53.54,21,5,2024
2024-05-23,TR-CONNECTRSCOM LDA,5000.0,EUR,BANK_TRANSFER,Montepio,,,21,5,2024
2024-05-23,TR-ONESTAT LDA,369.0,EUR,BANK_TRANSFER,Montepio,,,21,5,2024
2024-05-26,Sushi Café Original,-45.3,EUR,"Alojamento, restauração e similares",E-fatura,5.21,40.09,21,5,2024
2024-05-27,Worten,-249.98,EUR,Other,E-fatura,46.74,203.24,22,5,2024
2024-05-27,"Fuelprime, Lda",-57.83,EUR,Outros,E-fatura,10.81,47.02,22,5,2024
2024-05-27,"TR-TRUE ODYSSEYS, UNIPESSOAL L",4424.31,EUR,BANK_TRANSFER,Montepio,,,22,5,2024
2024-05-29,Proxima Travessia II Lda,-88.0,EUR,"Alojamento, restauração e similares",E-fatura,13.0,75.0,22,5,2024
2024-05-29,Money added from WONDERBREEZE UNIPESSOAL LDA,1000.0,EUR,TOPUP,Revolut,,,22,5,2024
2024-05-30,Importante Acreditar,-135.0,EUR,"Alojamento, restauração e similares",E-fatura,15.53,119.47,22,5,2024
2024-06-01,Aiel,-307.5,EUR,Outros,E-fatura,57.5,250.0,22,6,2024
2024-06-03,TRF. JO√O PEDRO JESUS COSTA SA,-640.0,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-03,Barbara Ines Silva Gonçalves,-200.0,EUR,Outros,E-fatura,0.0,200.0,23,6,2024
2024-06-03,PAGAMENTO TSU - TRANSFER NCIA,-211.64,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-03,"Invoicexpress, Lda",-17.22,EUR,Outros,E-fatura,3.22,14.0,23,6,2024
2024-06-03,TR-ESTR-GRUPO GLOBAL SOLUCOES,3510.0,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-03,TRF. JO√O PEDRO JESUS COSTA SA,-542.05,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-06,Pontipercepção,-60.0,EUR,Ginásios,E-fatura,3.4,56.6,23,6,2024
2024-06-07,TRF. TRASH4GOODS LDA,61.5,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-07,Openai *chatgpt Subscr,-18.39,EUR,CARD_PAYMENT,Revolut,,,23,6,2024
2024-06-07,TRF.P/ BARBARA INES SILVA GONC,-200.0,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-08,I.S. COM. MAN. CTA PACOTE,-0.36,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-08,SOLUCAO E.MPREENDEDOR,-9.0,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-09,TR-IPS-Mystic Protocol,2526.84,EUR,BANK_TRANSFER,Montepio,,,23,6,2024
2024-06-11,TRF.P/ XE EUROPE BV,-1225.26,EUR,BANK_TRANSFER,Montepio,,,24,6,2024
2024-06-12,TR-Mystic Protocol,581.17,EUR,BANK_TRANSFER,Montepio,,,24,6,2024
2024-06-12,Go Daddy Netherlands E,-22.67,EUR,CARD_PAYMENT,Revolut,,,24,6,2024
2024-06-13,TRF.P/ XE EUROPE BV,-1224.11,EUR,BANK_TRANSFER,Montepio,,,24,6,2024
